City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,fale old settlement,-9.3852,-171.2468,83.32,73,16,18.03,TK,1690417984
259,saint-germain-du-puy,47.1,2.4833,64.67,82,55,8.05,FR,1690417984
260,yanykurgan,43.915,67.2481,91.54,23,100,19.95,KZ,1690417984
261,lompoc,34.6391,-120.4579,72.84,82,100,11.99,US,1690417984
262,vadso,70.0744,29.7487,50.16,93,100,2.3,NO,1690417985
263,benguela,-12.5763,13.4055,69.21,81,98,5.08,AO,1690417985
264,codrington,-38.2667,141.9667,55.47,66,1,17.22,AU,1690417985
265,khandyga,62.6667,135.6,70.48,33,0,12.26,RU,1690417985
266,port alfred,-33.5906,26.891,62.44,77,100,6.71,ZA,1690417986
267,melouza,35.98,4.1867,73.09,50,0,6.08,DZ,1690417986
268,galle,6.0367,80.217,78.98,86,100,6.29,LK,1690417986
269,skowhegan,44.7651,-69.7192,77.56,87,100,4.56,US,1690417986
270,gaiman,-43.2897,-65.4929,38.95,59,29,5.57,AR,1690417987
271,pasuquin,18.3328,120.6177,78.75,89,100,9.22,PH,1690417987
272,masterton,-40.9597,175.6575,53.89,88,89,9.75,NZ,1690417987
273,paredon,16.0333,-93.8667,86.61,64,12,12.08,MX,1690417987
274,tamiahua,21.2667,-97.45,80.78,81,100,7.2,MX,1690417987
275,bonthe,7.5264,-12.505,76.01,92,99,5.01,SL,1690417895
276,severnoye,56.3491,78.3619,65.03,75,50,0.96,RU,1690417988
277,al kharijah,25.4514,30.5464,88.99,20,100,5.68,EG,1690417988
278,sinop,41.7711,34.8709,73.06,42,0,11.16,TR,1690417988
279,torghay,49.6339,63.4981,69.17,70,3,5.79,KZ,1690417988
280,walvis bay,-22.9575,14.5053,51.1,87,0,8.05,NA,1690417961
281,uspenskoye,44.8311,41.3927,66.27,75,0,9.08,RU,1690417989
282,camayenne,9.535,-13.6878,80.69,89,75,6.91,GN,1690417989
283,ribas do rio pardo,-20.4431,-53.7592,75.34,37,65,4.27,BR,1690417989
284,asau,46.4333,26.4,65.32,95,100,5.37,RO,1690417989
285,paita,-5.0892,-81.1144,71.55,80,42,16.78,PE,1690417990
286,gurupi,-11.7292,-49.0686,76.32,33,6,6.08,BR,1690417990
287,mopti,14.6667,-4.0,87.84,66,0,6.91,ML,1690417990
288,darwin,-12.4611,130.8418,75.88,54,0,5.01,AU,1690417907
289,chumphon,10.3333,98.8333,76.69,91,83,7.65,TH,1690417990
290,portland,45.5234,-122.6762,85.55,34,40,12.66,US,1690417697
291,hit,33.6416,42.8251,91.83,16,0,3.53,IQ,1690417991
292,veracruz,19.3333,-96.6667,72.25,93,85,1.14,MX,1690417921
293,marco island,25.9363,-81.7157,87.8,77,100,5.64,US,1690417991
294,vernon,50.2581,-119.2691,80.29,26,6,3.0,CA,1690417936
295,vilyuchinsk,52.9306,158.4028,73.67,77,99,6.2,RU,1690417991
296,whakatane,-37.9585,176.9854,53.78,72,99,2.91,NZ,1690417992
297,ceerigaabo,10.6162,47.368,61.21,69,46,19.53,SO,1690417992
298,lerwick,60.1545,-1.1494,50.0,86,0,2.95,GB,1690417992
299,lisala,2.15,21.5167,72.03,86,100,2.68,CD,1690417921
300,viedma,-40.8135,-62.9967,40.32,72,98,7.02,AR,1690417902
301,ust'-uda,54.1742,103.0304,67.14,69,10,7.05,RU,1690417993
302,argo,37.6333,22.7333,82.78,54,0,5.44,GR,1690417941
303,sirte,31.2089,16.5887,82.06,83,0,12.1,LY,1690417993
304,port douglas,-16.4833,145.4667,74.1,71,60,15.9,AU,1690417993
305,hammerfest,70.6634,23.6821,48.65,93,77,5.75,NO,1690417993
306,santo antonio,-6.3106,-35.4789,70.5,94,6,8.95,BR,1690417993
307,east ballina,-28.8667,153.5833,63.81,52,32,3.69,AU,1690417994
308,san borja,-14.8167,-66.85,73.78,82,63,3.58,BO,1690417994
309,mindelo,16.8901,-24.9804,78.35,78,20,14.97,CV,1690417994
310,yesan,36.6776,126.8427,82.08,71,40,2.13,KR,1690417994
311,kineshma,57.4391,42.1289,64.9,96,89,9.8,RU,1690417994
312,willis,30.4249,-95.4799,96.39,48,0,10.36,US,1690417995
313,ibshaway,29.358,30.6814,84.78,42,0,9.57,EG,1690417995
314,baruun-urt,46.6806,113.2792,70.5,47,39,8.3,MN,1690417995
315,selfoss,63.9331,-20.9971,51.04,73,100,9.06,IS,1690417995
316,amarante do maranhao,-5.5667,-46.7422,75.34,48,0,0.76,BR,1690417995
317,mitchell,43.7094,-98.0298,91.38,58,0,8.05,US,1690417996
318,aomori,40.8244,140.74,85.1,69,75,12.66,JP,1690417996
319,nyurba,63.2842,118.3319,61.84,57,93,6.06,RU,1690417996
320,korla,41.7597,86.1469,88.02,23,0,1.9,CN,1690417996
321,general roca,-39.0333,-67.5833,48.87,54,100,7.61,AR,1690417997
322,harnoli,32.2792,71.5539,90.46,61,0,3.04,PK,1690417997
323,al lagowa,11.4,29.1333,71.69,88,100,7.54,SD,1690417997
324,codajas,-3.8367,-62.0569,79.74,51,16,2.66,BR,1690417997
325,moultonborough,43.7548,-71.3967,76.82,79,100,1.99,US,1690417997
326,vila franca do campo,37.7167,-25.4333,68.41,84,21,4.47,PT,1690417726
327,krasnyy chikoy,50.3643,108.7512,64.96,78,80,2.73,RU,1690417998
328,beihai,21.4833,109.1,87.42,72,69,11.27,CN,1690417923
329,whangarei,-35.7317,174.3239,58.06,75,18,10.83,NZ,1690417902
330,pucheng,27.9233,118.5333,83.43,69,45,2.57,CN,1690417998
331,al jawf,29.5,38.75,83.44,17,20,8.16,SA,1690417998
332,eurajoki,61.2,21.7333,51.82,95,1,4.76,FI,1690417999
333,rabaul,-4.1967,152.1721,84.6,71,71,14.32,PG,1690417999
334,gebeit,21.0667,36.3167,87.78,38,15,12.64,SD,1690417999
335,pimentel,-6.8367,-79.9342,73.69,78,0,14.97,PE,1690417999
336,kuanda,56.3161,116.0806,74.73,62,73,0.81,RU,1690418001
337,cancun,21.1743,-86.8466,86.05,74,75,6.91,MX,1690417798
338,dassun,17.7204,121.6816,79.05,83,100,11.81,PH,1690418001
339,santa cruz,-17.8,-63.1667,67.46,60,75,14.97,BO,1690417786
340,alapayevsk,57.8516,61.6963,56.41,95,62,4.79,RU,1690418002
341,bandar lampung,-5.4254,105.258,76.86,81,23,4.14,ID,1690418002
342,hovd,48.0056,91.6419,71.73,31,100,3.42,MN,1690418002
343,hepo,23.4308,115.8299,82.99,79,100,5.97,CN,1690418002
344,livno,43.8269,17.0078,58.77,90,41,7.63,BA,1690418003
345,pytalovo,57.0679,27.9138,52.59,95,100,5.26,RU,1690418003
346,pudozh,61.8099,36.5345,54.1,98,96,3.27,RU,1690417995
347,tazacorte,28.629,-17.9293,74.37,86,75,13.8,ES,1690417710
348,vernal,40.4555,-109.5287,83.91,27,0,18.41,US,1690418003
349,gamba,-2.65,10.0,69.15,96,35,3.71,GA,1690418004
350,villa emilio carranza,19.9667,-96.6,81.59,79,100,4.99,MX,1690418004
351,namibe,-15.1961,12.1522,60.04,90,55,7.43,AO,1690418004
352,ebaye,8.7748,167.7392,86.02,74,100,3.44,MH,1690418005
353,grande prairie,55.1667,-118.8027,60.98,77,100,17.27,CA,1690417873
354,machico,32.7,-16.7667,72.23,79,20,5.75,PT,1690418005
355,nuuk,64.1835,-51.7216,41.61,100,100,12.66,GL,1690418005
356,scarborough,54.2797,-0.4044,57.65,91,100,10.0,GB,1690417932
357,zapadnaya dvina,56.259,32.0745,54.3,93,100,1.52,RU,1690418006
358,cascais,38.6979,-9.4215,67.51,76,74,30.0,PT,1690418006
359,bubaque,11.2833,-15.8333,81.73,81,100,11.97,GW,1690418006
360,canutama,-6.5339,-64.3831,78.01,52,89,3.11,BR,1690418006
361,sao tome,0.3365,6.7273,75.38,88,80,9.24,ST,1690418006
362,santa rosa de osos,6.6474,-75.4603,57.87,98,92,1.16,CO,1690418007
363,jiazi,22.8779,116.067,84.96,75,98,7.85,CN,1690418007
